Run	Sample	Platform	Assay_Type	FASTQ DNAnexus	BAM DNAnexus	Comments
SRR11476445	SRS6422657	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR11476446	SRS6422657	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR11476447	SRS6422657	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR11476448	SRS6422657	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR11476449	SRS6422657	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR11476450	SRS6422657	NANOPORE	AMPLICON	TRUE	TRUE	
SRR11476451	SRS6422657	NANOPORE	AMPLICON	TRUE	TRUE	
SRR11476452	SRS6422657	ILLUMINA	AMPLICON	TRUE	TRUE	Manta error
SRR11476453	SRS6422657	ILLUMINA	AMPLICON	TRUE	TRUE	Manta error
SRR11476454	SRS6422657	ILLUMINA	AMPLICON	TRUE	TRUE	Manta error
SRR11547279	SRS6477427	NANOPORE	AMPLICON	TRUE	TRUE	
SRR11542244	SRS6477427	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR11514749	SRS6395996	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR11445485	SRS6395996	NANOPORE	AMPLICON	TRUE	TRUE	
SRR11514750	SRS6395995	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR11445486	SRS6395995	NANOPORE	AMPLICON	TRUE	TRUE	
ERR4173381	ERS4581192	ILLUMINA	RNA-Seq	TRUE	TRUE	
ERR4173382	ERS4581192	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447360	SRS7197852	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447406	SRS7197852	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480556	SRS7197852	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447361	SRS7197851	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447407	SRS7197851	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480557	SRS7197851	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447362	SRS7197849	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12480558	SRS7197849	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447409	SRS7197849	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12447363	SRS7197848	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12480559	SRS7197848	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447410	SRS7197848	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12447364	SRS7197858	ILLUMINA	AMPLICON	TRUE	TRUE	Manta error
SRR12447377	SRS7197858	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12480494	SRS7197858	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447365	SRS7197847	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447411	SRS7197847	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480561	SRS7197847	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447366	SRS7197846	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12480562	SRS7197846	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447412	SRS7197846	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12447367	SRS7197840	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447418	SRS7197840	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480563	SRS7197840	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447368	SRS7197829	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447429	SRS7197829	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480564	SRS7197829	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447369	SRS7197818	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447440	SRS7197818	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480565	SRS7197818	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447370	SRS7197807	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447451	SRS7197807	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480566	SRS7197807	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447371	SRS7197796	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447462	SRS7197796	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480567	SRS7197796	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447372	SRS7197785	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447473	SRS7197785	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480568	SRS7197785	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447373	SRS7197772	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447486	SRS7197772	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480574	SRS7197772	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447374	SRS7197761	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12480470	SRS7197761	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447497	SRS7197761	ILLUMINA	AMPLICON	TRUE	TRUE	Manta error
SRR12447375	SRS7197857	ILLUMINA	AMPLICON	TRUE	TRUE	Manta error
SRR12480505	SRS7197857	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447378	SRS7197857	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447376	SRS7197750	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447508	SRS7197750	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480483	SRS7197750	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447380	SRS7197854	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12480527	SRS7197854	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447386	SRS7197854	ILLUMINA	AMPLICON	TRUE	TRUE	Manta error
SRR12447381	SRS7197853	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447397	SRS7197853	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480538	SRS7197853	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447382	SRS7197850	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447408	SRS7197850	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480549	SRS7197850	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447383	SRS7197784	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447474	SRS7197784	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480560	SRS7197784	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447385	SRS7197783	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447475	SRS7197783	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480472	SRS7197783	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447387	SRS7197765	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480534	SRS7197765	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447493	SRS7197765	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447388	SRS7197764	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480535	SRS7197764	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447494	SRS7197764	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447389	SRS7197763	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480536	SRS7197763	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447495	SRS7197763	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447390	SRS7197762	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12447496	SRS7197762	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12480537	SRS7197762	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447391	SRS7197760	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480539	SRS7197760	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447498	SRS7197760	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447392	SRS7197758	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480541	SRS7197758	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447500	SRS7197758	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447393	SRS7197756	ILLUMINA	AMPLICON	TRUE	TRUE	Not enough data for SV calling
SRR12447502	SRS7197756	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12480543	SRS7197756	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447394	SRS7197755	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480544	SRS7197755	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447503	SRS7197755	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447395	SRS7197754	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12447504	SRS7197754	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12480545	SRS7197754	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447396	SRS7197753	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480546	SRS7197753	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447505	SRS7197753	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447398	SRS7197752	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12447506	SRS7197752	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12480547	SRS7197752	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447399	SRS7197751	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480548	SRS7197751	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447507	SRS7197751	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447400	SRS7197749	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480550	SRS7197749	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447509	SRS7197749	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447401	SRS7197748	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480551	SRS7197748	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447510	SRS7197748	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447402	SRS7197747	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12447511	SRS7197747	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12480552	SRS7197747	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447403	SRS7197746	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12480553	SRS7197746	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447512	SRS7197746	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447404	SRS7197745	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12447513	SRS7197745	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12480554	SRS7197745	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12447405	SRS7197744	ILLUMINA	AMPLICON	TRUE	TRUE	
SRR12447514	SRS7197744	NANOPORE	AMPLICON	TRUE	TRUE	
SRR12480555	SRS7197744	NANOPORE	AMPLICON	TRUE	TRUE	
SRR11140744	SRS6189924	ILLUMINA	WGS	TRUE	TRUE	veroSTAT-1KO_illumina
SRR11140745	SRS6189920	NANOPORE	WGS	TRUE	TRUE	veroSTAT-1KO_ONT
SRR11140746	SRS6189919	ILLUMINA	WGS	TRUE	TRUE	veroE6_illumina
SRR11140747	SRS6189917	NANOPORE	WGS	TRUE	TRUE	veroE6_ONT
SRR11140748	SRS6189918	ILLUMINA	WGS	TRUE	TRUE	vero76_illumina
SRR11140749	SRS6189916	NANOPORE	WGS	TRUE	TRUE	vero76_ONT
SRR11140750	SRS6189914	ILLUMINA	WGS	TRUE	TRUE	swab_illumina
SRR11140751	SRS6189915	NANOPORE	WGS	TRUE	TRUE	swab_ONT
